,,,,,
230371029,02/06/2023 03:59:34 PM,"S 35TH ST / W GREENFIELD AV,MKE",2,SUBJ WITH WEAPON,Service in Progress
230371034,02/06/2023 03:59:24 PM,"6929 W SILVER SPRING DR,MKE",4,ASSIGNMENT,Service in Progress
230371033,02/06/2023 03:58:58 PM,"1320 E OKLAHOMA AV,MKE",6,COMMUNITY MTNG,Service in Progress
230371030,02/06/2023 03:57:26 PM,"309 N WATER ST,MKE",1,SPECIAL ASSIGN,Service in Progress
230371028,02/06/2023 03:54:37 PM,"3626 W FOND DU LAC AV,MKE",7,OUT OF SERVICE,Assignment Completed
230371024,02/06/2023 03:53:35 PM,"4154 N 56TH ST,MKE",7,FIGHT,Assignment Completed
230371009,02/06/2023 03:53:04 PM,"3006 S 27TH ST,MKE",6,TRBL W/JUV,Advised/Referral
230371022,02/06/2023 03:52:07 PM,"4715 W VLIET ST,MKE",3,INVESTIGATION,Service in Progress
230371017,02/06/2023 03:51:48 PM,"3127 N 21ST ST,MKE",5,BATTERY,Service in Progress
230371021,02/06/2023 03:51:38 PM,604 BRASTED PL WAUKESHA,CITY,FOLLOW UP,Service in Progress
230371021,02/06/2023 03:51:38 PM,604 BRASTED PL WAUKESHA,CITY,FOLLOW UP,Service in Progress
230371020,02/06/2023 03:51:34 PM,"500 E OAK ST, OAKCREEK, WI",3,PROPERTY PICKUP,Service in Progress
230371003,02/06/2023 03:47:36 PM,"4248 N 27TH ST,MKE",5,SHOTSPOTTER,Unable to Locate Complainant
230371013,02/06/2023 03:46:33 PM,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed
230371011,02/06/2023 03:45:17 PM,"6929 W SILVER SPRING DR,MKE",4,OUT OF SERVICE,Assignment Completed
230371010,02/06/2023 03:45:06 PM,"3006 S 27TH ST,MKE",6,OUT OF SERVICE,Assignment Completed
230371008,02/06/2023 03:44:33 PM,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed
230371007,02/06/2023 03:44:31 PM,"2920 N VEL R PHILLIPS AV,MKE",5,RETURN STATION,Service in Progress
230371002,02/06/2023 03:43:41 PM,"10304 W GREENWOOD TR,MKE",4,BATTERY,Service in Progress
230371005,02/06/2023 03:43:01 PM,"4715 W VLIET ST,MKE",3,REPORTS,To be Filed
230371000,02/06/2023 03:40:15 PM,"1641 S LAYTON BL,MKE",2,TRAFFIC STOP,City Citation(s) Issued
230370983,02/06/2023 03:39:10 PM,"5168 N 35TH ST,MKE",7,WELFARE CITIZEN,Advised
230370989,02/06/2023 03:39:03 PM,"1842 N 37TH ST,MKE",3,STOLEN VEHICLE,Service in Progress
230370994,02/06/2023 03:36:40 PM,"2338 N 27TH ST,MKE",3,ROBBERY ARMED,Service in Progress
230370997,02/06/2023 03:36:35 PM,"749 W STATE ST,MKE",1,MED RUN,Service in Progress
230370996,02/06/2023 03:35:55 PM,"6929 W SILVER SPRING DR,MKE",4,THEFT,Open Investigation
230370995,02/06/2023 03:35:09 PM,"2920 N VEL R PHILLIPS AV,MKE",5,OUT OF SERVICE,Assignment Completed
230370990,02/06/2023 03:33:28 PM,"3626 W FOND DU LAC AV,MKE",7,RETURN STATION,Assignment Completed
230370985,02/06/2023 03:30:13 PM,"6929 W SILVER SPRING DR,MKE",4,ASSIGNMENT,Service in Progress
230370982,02/06/2023 03:28:59 PM,"3000 W CANAL ST,MKE",3,ASSIGNMENT,Assignment Completed
230370977,02/06/2023 03:25:03 PM,"6929 W SILVER SPRING DR,MKE",4,RETURN STATION,Assignment Completed
230370963,02/06/2023 03:23:32 PM,"W FOND DU LAC AV / W CAPITOL DR,MKE",7,ACC PDO,Advised
230370971,02/06/2023 03:22:45 PM,"749 W STATE ST,MKE",1,MED RUN,Service in Progress
230370970,02/06/2023 03:20:23 PM,"6300 N SHERMAN BL,MKE",4,TRAFFIC STOP,Advised
230370965,02/06/2023 03:19:32 PM,"4821 N 22ND ST,MKE",7,ENTRY,Service in Progress
230370927,02/06/2023 03:19:03 PM,"2281 N LAKE DR,MKE",1,THEFT,Service in Progress
230370870,02/06/2023 03:16:05 PM,"826 W GALENA ST,MKE",5,THREAT,Advised
230370926,02/06/2023 03:13:57 PM,"648 N PLANKINTON AV,MKE",1,TRBL W/SUBJ,Advised
230370964,02/06/2023 03:10:33 PM,"619 W WALNUT ST,MKE",5,PROPERTY PICKUP,Assignment Completed
230370953,02/06/2023 03:10:04 PM,"9502 W GOODRICH CT,MKE",4,INJ PERSON/SICK,Advised
230370962,02/06/2023 03:08:50 PM,"6000 W SILVER SPRING DR,MKE",4,PATROL,Assignment Completed
230370948,02/06/2023 03:08:29 PM,"4965 S 20TH ST,MKE",6,THREAT,Advised
230370958,02/06/2023 03:07:48 PM,"3149 S 77TH ST,MKE",6,INJ PERSON/SICK,Assignment Completed
230370947,02/06/2023 03:06:02 PM,"3795 S 27TH ST,MKE",6,WELFARE CITIZEN,Advised
230370936,02/06/2023 03:05:36 PM,"3343 S 83RD ST,MKE",6,TRBL W/JUV,Advised
230370957,02/06/2023 03:03:27 PM,"4513 W VILLARD AV,MKE",7,THEFT VEHICLE,To be Filed
230370939,02/06/2023 03:01:44 PM,"9001 N 75TH ST,MKE",4,BATTERY,Unable to Locate Complainant
230370955,02/06/2023 03:01:12 PM,"540 S 1ST ST,MKE",2,BUSINESS CHECK,Assignment Completed
230370952,02/06/2023 03:00:30 PM,"125 N 25TH ST,MKE",3,ASSIGN-ADMN MPD,Assignment Completed
,,,,,
230371246,02/06/2023 05:44:36 PM,"N 39TH ST / W VILLARD AV,MKE",7,INVESTIGATION,Service in Progress
230371244,02/06/2023 05:44:16 PM,"3355 S 27TH ST,MKE",6,FOLLOW UP,Open Investigation
230371243,02/06/2023 05:44:15 PM,"2355 N 35TH ST,MKE",3,SPECIAL ASSIGN,Service in Progress
230371217,02/06/2023 05:44:10 PM,"622 W WISCONSIN AV,MKE",1,TRBL W/SUBJ,Unable to Locate Complainant
230371140,02/06/2023 05:43:48 PM,"219 N MILWAUKEE ST,MKE",1,ENTRY TO AUTO,Service in Progress
230371226,02/06/2023 05:43:27 PM,"E JUNEAU AV / N JACKSON ST,MKE",1,WELFARE CITIZEN,Advised
230371206,02/06/2023 05:41:37 PM,"W LISBON AV / N 47TH ST,MKE",3,TRAFFIC HAZARD,Service in Progress
230371239,02/06/2023 05:41:33 PM,"3626 W FOND DU LAC AV,MKE",7,PRISONER TRANS,Service in Progress
230371235,02/06/2023 05:39:27 PM,"4175 N 56TH ST,MKE",7,RECOVERED VEH,To be Filed
230371234,02/06/2023 05:39:04 PM,"2920 N VEL R PHILLIPS AV,MKE",5,INVESTIGATION,Service in Progress
230371232,02/06/2023 05:38:30 PM,"2920 N VEL R PHILLIPS AV,MKE",5,RETURN STATION,Service in Progress
230371231,02/06/2023 05:37:51 PM,"2920 N VEL R PHILLIPS AV,MKE",5,RETURN STATION,Assignment Completed
230371230,02/06/2023 05:37:44 PM,1812 S LAYTON BL,SPD,TRAFFIC STOP,City Citation(s) Issued
230371230,02/06/2023 05:37:44 PM,1812 S LAYTON BL,SPD,TRAFFIC STOP,City Citation(s) Issued
230371219,02/06/2023 05:36:23 PM,"4441 N 37TH ST,MKE",7,ENTRY,Advised/Referral
230371224,02/06/2023 05:35:15 PM,"245 E HAMPTON AV,MKE",5,BUSINESS CHECK,Service in Progress
230371218,02/06/2023 05:34:43 PM,"2176 N 36TH ST,MKE",3,SHOOTING,Service in Progress
230371223,02/06/2023 05:34:29 PM,"7500 W FOND DU LAC AV,MKE",4,TRAFFIC STOP,Advised
230371222,02/06/2023 05:34:19 PM,1522 N PROSPECT AV,1,FOLLOW UP,Assignment Completed
230370810,02/06/2023 05:33:22 PM,"433 W ST PAUL AV,MKE",1,ADDL INFO,Advised
230371216,02/06/2023 05:31:49 PM,"2400-BLK W HAMPTON AV,MKE",7,INVESTIGATION,Service in Progress
230371204,02/06/2023 05:31:13 PM,"1801 S MUSKEGO AV,MKE",2,SHOTSPOTTER,Unable to Locate Complainant
230371199,02/06/2023 05:29:14 PM,"1810 S MUSKEGO AV,MKE",2,SHOTSPOTTER,Assignment Completed
230371211,02/06/2023 05:29:12 PM,"112 S 68TH ST,MKE",3,ASSIGNMENT,Assignment Completed
230371209,02/06/2023 05:28:44 PM,"2333 N 49TH ST,MKE",3,RETURN STATION,Assignment Completed
230371067,02/06/2023 05:28:24 PM,"2301 N LAKE DR,MKE",1,TRBL W/SUBJ,Advised
230371207,02/06/2023 05:27:09 PM,"5100 W VILLARD AV,MKE",4,INVESTIGATION,Service in Progress
230371201,02/06/2023 05:25:29 PM,"1745 S LAYTON BL,MKE",2,TRAFFIC STOP,City Citation(s) Issued
230371200,02/06/2023 05:25:24 PM,"N 25TH ST / W CAPITOL DR,MKE",5,TRAFFIC STOP,Advised
230371162,02/06/2023 05:24:26 PM,"N VAN BUREN ST / E JUNEAU AV,MKE",1,ACC PDO,To be Filed
